סמל רשות,מספר סידורי,שם רשות מקומית,שטח שיפוט (דונם),שטח תפוס על ידי לוחות סולאריים (דונם),מספר מבנים,שטח גגות כולל (דונם),שטח פוטנציאל שנמצא מתאים לסולארי (דונם),שטח לא פנוי (דונם),הספק מותקן מוערך קיים (MW),אחוז מימוש,הספק פוטנציאל מוערך (MW),סיווג שימוש,הערות
5573,70,מטה בנימין,276784.4,31.6,437,153,58.7,21.7,4.5,35,8.4,מבנה חינוך,"usg code is secondary usage, which is included in main usage"
5573,70,מטה בנימין,276784.4,8.1,142,44,18.7,5.2,1.2,30.1,2.7,מבנה ציבור פרט לחינוך,"usg code is secondary usage, which is included in main usage"
5573,70,מטה בנימין,276784.4,43,5127,1059.4,405.6,15.5,6.1,9.6,57.9,מגורים,usg code is main usage
5573,70,מטה בנימין,276784.4,40,4500,896.6,347.9,13.4,5.7,10.3,49.7,מגורים בנייה צמודת קרקע (עד 9 מטרים),"usg code is secondary usage, which is included in main usage"
5573,70,מטה בנימין,276784.4,3,506,126.1,45.9,1.4,0.4,6.2,6.6,מגורים בנייה נמוכה  (10-15 מטרים),"usg code is secondary usage, which is included in main usage"
5573,70,מטה בנימין,276784.4,0,84,29.2,8.9,0.6,0,0,1.3,מגורים בניה גבוהה (16-27 מטרים),"usg code is secondary usage, which is included in main usage"
5573,70,מטה בנימין,276784.4,0,37,7.6,3,0.1,0,0,0.4,מגורים בניה רב קומות (מעל 28 מטרים ומעלה),"usg code is secondary usage, which is included in main usage"
5573,70,מטה בנימין,276784.4,22.7,70,84.4,39.1,20.3,3.2,36.7,5.6,תעשייה,usg code is main usage
5573,70,מטה בנימין,276784.4,0,15,5.9,4.2,0,0,0,0.6,תשתיות ומתקנים הנדסיים,usg code is main usage
5573,70,מטה בנימין,276784.4,1.1,92,20.3,11.2,0,0.2,8.9,1.6,"מסחר, משרדים ותיירות",usg code is main usage
5573,70,מטה בנימין,276784.4,4,45,40.9,27.3,2.2,0.6,12.7,3.9,חקלאות,usg code is main usage
5573,70,מטה בנימין,276784.4,7.4,1805,330.7,133.1,2.4,1.1,5.3,19,אחר,usg code is main usage
2610,71,בית שמש,38289.9,6.6,289,141,66.2,6.7,0.9,9.1,9.5,ציבורי,usg code is main usage
2610,71,בית שמש,38289.9,0.6,10,4.7,1.6,0.6,0.1,25.9,0.2,ממשלתי,"usg code is secondary usage, which is included in main usage"
2610,71,בית שמש,38289.9,0,19,4.7,2.2,0,0,0,0.3,תחבורה,"usg code is secondary usage, which is included in main usage"
2610,71,בית שמש,38289.9,3.1,30,51.1,26.5,3.2,0.4,10.4,3.8,אקדמיה,"usg code is secondary usage, which is included in main usage"
2610,71,בית שמש,38289.9,2.9,161,52.5,25.2,2.3,0.4,10.3,3.6,שירותי דת,"usg code is secondary usage, which is included in main usage"
2610,71,בית שמש,38289.9,0,11,4.6,2.2,0,0,0,0.3,חירום וביטחון,"usg code is secondary usage, which is included in main usage"
2610,71,בית שמש,38289.9,0,31,12.9,4.2,0.4,0,0.7,0.6,רפואה,"usg code is secondary usage, which is included in main usage"
2610,71,בית שמש,38289.9,21.7,745,328.3,149.7,16.1,3.1,12.7,21.4,רשות מקומית,usg code is main usage
2610,71,בית שמש,38289.9,19,660,285.5,128.8,15.1,2.7,12.9,18.4,מבנה חינוך,"usg code is secondary usage, which is included in main usage"
2610,71,בית שמש,38289.9,2.7,84,42.5,20.8,1,0.4,11.3,3,מבנה ציבור פרט לחינוך,"usg code is secondary usage, which is included in main usage"
2610,71,בית שמש,38289.9,12.7,3174,1218.3,311.6,72.5,1.8,3.9,44.5,מגורים,usg code is main usage
2610,71,בית שמש,38289.9,10.6,1530,496.3,140.8,26.3,1.5,7,20.1,מגורים בנייה צמודת קרקע (עד 9 מטרים),"usg code is secondary usage, which is included in main usage"
2610,71,בית שמש,38289.9,2.1,687,261.1,71.4,14.9,0.3,2.9,10.2,מגורים בנייה נמוכה  (10-15 מטרים),"usg code is secondary usage, which is included in main usage"
2610,71,בית שמש,38289.9,0,496,241.9,43.7,19.4,0,0,6.2,מגורים בניה גבוהה (16-27 מטרים),"usg code is secondary usage, which is included in main usage"
2610,71,בית שמש,38289.9,0,461,218.9,55.7,11.9,0,0,8,מגורים בניה רב קומות (מעל 28 מטרים ומעלה),"usg code is secondary usage, which is included in main usage"
2610,71,בית שמש,38289.9,65.9,173,312.1,150.7,61.4,9.4,30.4,21.5,תעשייה,usg code is main usage
2610,71,בית שמש,38289.9,0,8,7.1,4.5,0,0,0,0.6,תשתיות ומתקנים הנדסיים,usg code is main usage
2610,71,בית שמש,38289.9,8.8,167,138.7,55.8,10.5,1.3,13.6,8,"מסחר, משרדים ותיירות",usg code is main usage
2610,71,בית שמש,38289.9,5.3,28,31.2,13.8,5.4,0.8,27.8,2,חקלאות,usg code is main usage
2610,71,בית שמש,38289.9,0,137,33.3,13.4,0.5,0,0,1.9,אחר,usg code is main usage
5534,72,שפיר,76265.3,1,52,18.5,8.2,0.7,0.1,10.5,1.2,ציבורי,usg code is main usage
5534,72,שפיר,76265.3,0,0,0,0,0,0,0,0,ממשלתי,"usg code is secondary usage, which is included in main usage"
5534,72,שפיר,76265.3,0,1,0.3,0.1,0,0,0,0,תחבורה,"usg code is secondary usage, which is included in main usage"
5534,72,שפיר,76265.3,0,0,0,0,0,0,0,0,אקדמיה,"usg code is secondary usage, which is included in main usage"
5534,72,שפיר,76265.3,1,37,14.3,6.4,0.7,0.1,13,0.9,שירותי דת,"usg code is secondary usage, which is included in main usage"
5534,72,שפיר,76265.3,0,0,0,0,0,0,0,0,חירום וביטחון,"usg code is secondary usage, which is included in main usage"
5534,72,שפיר,76265.3,0,9,2.6,1.1,0,0,0.8,0.2,רפואה,"usg code is secondary usage, which is included in main usage"
5534,72,שפיר,76265.3,6.2,231,78.5,38.2,4.6,0.9,13.9,5.5,רשות מקומית,usg code is main usage
5534,72,שפיר,76265.3,3.5,173,55.1,28.2,2,0.5,11.1,4,מבנה חינוך,"usg code is secondary usage, which is included in main usage"
5534,72,שפיר,76265.3,2.7,55,22.9,9.7,2.7,0.4,21.4,1.4,מבנה ציבור פרט לחינוך,"usg code is secondary usage, which is included in main usage"
5534,72,שפיר,76265.3,51.5,2899,773.6,375.9,29,7.4,12,53.7,מגורים,usg code is main usage
5534,72,שפיר,76265.3,49.6,2890,763.5,371.6,27.1,7.1,11.8,53.1,מגורים בנייה צמודת קרקע (עד 9 מטרים),"usg code is secondary usage, which is included in main usage"
5534,72,שפיר,76265.3,1.9,8,9.5,4.1,1.9,0.3,31.1,0.6,מגורים בנייה נמוכה  (10-15 מטרים),"usg code is secondary usage, which is included in main usage"
5534,72,שפיר,76265.3,0,1,0.7,0.2,0,0,0,0,מגורים בניה גבוהה (16-27 מטרים),"usg code is secondary usage, which is included in main usage"
5534,72,שפיר,76265.3,0,0,0,0,0,0,0,0,מגורים בניה רב קומות (מעל 28 מטרים ומעלה),"usg code is secondary usage, which is included in main usage"
5534,72,שפיר,76265.3,7.5,17,38.5,20.7,7.3,1.1,26.6,3,תעשייה,usg code is main usage
5534,72,שפיר,76265.3,0,1,0.5,0.3,0,0,0,0,תשתיות ומתקנים הנדסיים,usg code is main usage
5534,72,שפיר,76265.3,0.2,46,14.9,7.6,0.2,0,2.8,1.1,"מסחר, משרדים ותיירות",usg code is main usage
5534,72,שפיר,76265.3,47.3,244,253,127.7,41,6.8,27,18.2,חקלאות,usg code is main usage
5534,72,שפיר,76265.3,0,40,8.5,4.1,0,0,0.1,0.6,אחר,usg code is main usage
5568,73,נווה מדבר,32721,0.1,11,3.8,2.2,0.1,0,3.3,0.3,ציבורי,usg code is main usage
5568,73,נווה מדבר,32721,0,0,0,0,0,0,0,0,ממשלתי,"usg code is secondary usage, which is included in main usage"
5568,73,נווה מדבר,32721,0,0,0,0,0,0,0,0,תחבורה,"usg code is secondary usage, which is included in main usage"
5568,73,נווה מדבר,32721,0,0,0,0,0,0,0,0,אקדמיה,"usg code is secondary usage, which is included in main usage"
5568,73,נווה מדבר,32721,0.1,4,2.1,1.3,0.1,0,4.9,0.2,שירותי דת,"usg code is secondary usage, which is included in main usage"
5568,73,נווה מדבר,32721,0,0,0,0,0,0,0,0,חירום וביטחון,"usg code is secondary usage, which is included in main usage"
5568,73,נווה מדבר,32721,0,7,1.7,0.9,0,0,1,0.1,רפואה,"usg code is secondary usage, which is included in main usage"
5568,73,נווה מדבר,32721,4.6,220,68.1,33.3,4.2,0.7,12.1,4.8,רשות מקומית,usg code is main usage
5568,73,נווה מדבר,32721,4.5,164,54.3,25.7,4.1,0.6,14.9,3.7,מבנה חינוך,"usg code is secondary usage, which is included in main usage"
5568,73,נווה מדבר,32721,0.1,56,13.8,7.6,0.1,0,1.1,1.1,מבנה ציבור פרט לחינוך,"usg code is secondary usage, which is included in main usage"
5568,73,נווה מדבר,32721,13.2,1627,310.7,138,9.8,1.9,8.7,19.7,מגורים,usg code is main usage
5568,73,נווה מדבר,32721,13.2,1627,310.7,138,9.8,1.9,8.7,19.7,מגורים בנייה צמודת קרקע (עד 9 מטרים),"usg code is secondary usage, which is included in main usage"
5568,73,נווה מדבר,32721,0,0,0,0,0,0,0,0,מגורים בנייה נמוכה  (10-15 מטרים),"usg code is secondary usage, which is included in main usage"
5568,73,נווה מדבר,32721,0,0,0,0,0,0,0,0,מגורים בניה גבוהה (16-27 מטרים),"usg code is secondary usage, which is included in main usage"
5568,73,נווה מדבר,32721,0,0,0,0,0,0,0,0,מגורים בניה רב קומות (מעל 28 מטרים ומעלה),"usg code is secondary usage, which is included in main usage"
5568,73,נווה מדבר,32721,0,16,3.4,1.8,0,0,1.5,0.3,תעשייה,usg code is main usage
